代码,名称,涨幅%,现价,最高,量比,总金额,细分行业,净额,净流入,净量
"=""300016""",北陆药业,-1.19,9.13,9.45,0.62,18868.68,化学制剂,-7701051,-49402004,-0.17
"=""300019""",硅宝科技,0.22,22.52,23.33,1.13,81090.92,有机硅,-160152840,-294499250,-2.05
"=""300043""",星辉娱乐,-3.48,4.71,4.84,0.87,27175.5,游戏,-47590452,-26358069,-0.8
"=""300066""",三川智慧,17.82,6.48,6.59,8.21,163861.52,仪器仪表,123384967,199791394,2.23
"=""300127""",银河磁体,-2.91,29.99,31.54,1.23,58333.2,磁性材料,-18350649,26943116,-0.27
"=""300130""",新国都,-3.34,32.71,33.51,0.77,95822.64,其他IT设备,-131635100,-79547930,-0.9
"=""300160""",秀强股份,0.0,6.19,6.27,0.55,15666.25,家电零部件,-23193393,-58443897,-0.49
"=""300180""",华峰超纤,-0.1,9.8,10.17,1.27,192428.44,合成革,170899800,222897980,1.11
"=""300195""",长荣股份,20.03,9.05,9.05,8.11,75571.38,印刷包装机械,-52542365,-46130452,-1.48
"=""300196""",长海股份,-0.63,14.3,14.58,0.53,15246.44,玻纤制造,-75338000,17502310,-0.58
"=""300199""",翰宇药业,-1.94,18.15,19.1,0.9,106201.5,化学制剂,-15187943,-92766639,-0.77
"=""300254""",仟源医药,0.45,11.25,11.7,1.68,41044.68,化学制剂,-66489103,-38979631,-2.63
"=""300335""",迪森股份,0.16,6.26,6.36,0.6,22005.49,热力服务,-17046372,-10535029,-0.61
"=""300348""",长亮科技,-6.28,19.56,21.46,1.3,237938.43,行业应用软件,-4628391,-32339822,-0.21
"=""300371""",汇中股份,1.36,13.45,13.58,1.27,15535.76,仪器仪表,282031840,468043270,1.91
"=""300410""",正业科技,-1.15,7.77,8.25,1.95,33679.47,锂电设备,-9307206,-72208969,-0.53
"=""300414""",中光防雷,11.72,14.39,14.86,2.59,86262.03,其他通信设备,99445805,82728353,1.48
"=""300436""",广生堂,-0.05,61.97,66.55,1.51,143480.95,化学制剂,25907526,20214399,0.9
"=""300471""",厚普股份,-6.55,11.99,12.4,1.5,38267.9,其他专用设备,81712048,-43961680,0.96
"=""300527""",中船应急,3.35,11.73,11.9,1.16,74791.27,地面兵装,-244415050,150735810,-1.02
"=""300531""",优博讯,-3.96,20.59,21.35,0.92,33576.58,其他IT设备,-32079977,-77545935,-0.69
"=""300533""",冰川网络,-1.78,36.88,37.7,1.16,76698.29,游戏,-46631485,-73311744,-1.24
"=""300537""",广信材料,-7.65,25.84,27.33,1.05,54441.64,半导体材料,-1452919,-53339651,-0.04
"=""300548""",长芯博创,0.85,76.87,77.41,1.03,118143.62,网络接配及塔设,-48141571,701614,-0.43
"=""300581""",晨曦航空,-5.11,19.32,19.74,1.25,86515.53,航空装备,2524672,-32715649,0.03
"=""300591""",万里马,3.28,11.66,11.96,0.89,75182.02,鞋帽及其他,-103406910,-74672742,-1.66
"=""300600""",国瑞科技,-0.24,16.69,17.65,2.31,81527.37,航海装备,-35517359,-190932287,-0.9
"=""300631""",久吾高科,1.76,29.47,30.97,6.81,74571.6,环保设备,23455397,64584289,0.34
"=""300649""",杭州园林,-4.1,18.7,19.63,0.79,21005.43,园林工程,-194495140,10603650,-0.94
"=""300697""",电工合金,-1.27,14.74,15.06,0.88,25532.2,铜,11203527,111688930,0.09
"=""300703""",创源股份,0.44,25.13,26.98,1.76,58391.44,文化用品,-17355801,-81773227,-0.44
"=""300748""",金力永磁,0.77,26.15,27.43,2.25,227690.29,磁性材料,280619610,236686602,6.97
"=""300773""",拉卡拉,-4.0,28.33,29.11,0.98,139617.86,其他金融服务,12030650,-22239980,0.41
"=""300778""",新城市,0.8,18.81,19.66,1.46,56275.4,工程咨询服务,-34807071,6604894,-1.7
"=""300803""",指南针,-7.84,81.93,87.69,1.7,427867.96,行业应用软件,20520241,48581232,0.39
"=""300821""",东岳硅材,-2.72,10.0,10.51,0.79,39874.62,有机硅,13535049,-57986222,0.38
"=""300847""",中船汉光,-3.4,20.72,21.18,0.67,39448.92,其他化学制品,30717357,32550297,0.73
"=""300872""",天阳科技,-1.56,24.62,25.55,0.67,84478.34,其他云服务,65048730,320226280,0.21
"=""300903""",科翔股份,0.57,10.6,10.68,0.54,15158.22,PCB,-15691174,-45770283,-0.62
"=""300947""",德必集团,-2.97,25.81,26.49,0.64,14356.13,商业物业经营,-27986400,66881850,-0.14
"=""300982""",苏文电能,3.62,22.03,22.48,0.89,27863.34,基建工程,-46417660,-139005884,-1.22
"=""300991""",创益通,-1.14,29.43,30.88,0.6,16029.08,消费电子组件,297118520,999972070,0.59
"=""301024""",霍普股份,-5.18,50.71,52.25,0.78,17532.84,工程咨询服务,-57905032,-102213120,-0.47
"=""301120""",新特电气,4.45,13.61,14.11,1.6,64472.88,输变电设备,-57172348,-15887296,-0.88
"=""301141""",中科磁业,-5.05,70.89,77.27,1.63,115586.51,磁性材料,80691467,-131109443,0.78
"=""301150""",中一科技,-0.65,22.83,23.55,0.63,19368.2,锂电池,-17040787,-41816726,-0.5
"=""301176""",逸豪新材,7.97,37.27,37.27,1.23,56997.56,PCB,-1709886,3673066,-0.15
