date	code	close	amount	zhang	zhen	sma_up	sma_down	macd	is_up	consecutive_upper_days	upper_count_in_days	ma_amount_3_days_ratio	ma_amount_5_days_ratio	ma_amount_8_days_ratio	ma_amount_11_days_ratio	total_score	amount_score	free_amount	free_amount_score	increase	increase_score	amplitude	amplitude_score	jgcyd	jgcyd_score	lspf	lspf_score	focus	focus_score	last_desire_daily	desire_daily_score	high_rating	0_open	0_high	0_low	0_close	0_amount	0_day_open	0_day_max	0_day_min	0_day_close	1_open	1_high	1_low	1_close	1_amount	1_day_open	1_day_max	1_day_min	1_day_close	2_open	2_high	2_low	2_close	2_amount	2_day_open	2_day_max	2_day_min	2_day_close	3_open	3_high	3_low	3_close	3_amount	3_day_open	3_day_max	3_day_min	3_day_close
20250508	688280	8.9	7.815498027	-0.115308151	0.163722026	1	1	1.117180437	1	4	4	4.572	17.868	10.644	6.049	47	60	26.660283	0	107.4592075	100	159.2783505	100	42.8454	100	59.0336	0	77.2	50	-2.52	0	FALSE	9.66	9.88	8.49	8.9	958498944	8.539325843	11.01123596	-4.606741573	0	8.6	8.76	7.97	7.98	639716160	-3.370786517	-1.573033708	-10.4494382	-10.33707865	7.87	8.07	7.8	7.98	439426272	-11.57303371	-9.325842697	-12.35955056	-10.33707865	7.95	8.24	7.71	7.73	472040096	-10.6741573	-7.415730337	-13.37078652	-13.14606742
20250508	300281	8.6	6.302169067	-0.011494253	0.111633373	1	1	0.391145343	1	3	3	3.08	2.844	1.574	0.784	38	60	24.356078	0	28.74251497	0	74.53874539	100	33.3035	80	58.1026	0	81.8667	80	-1.12	0	FALSE	9	9.46	8.51	8.6	1071942528	4.651162791	10	-1.046511628	0	8.49	8.75	7.9	7.93	676949504	-1.279069767	1.744186047	-8.139534884	-7.790697674	7.85	8.09	7.78	7.89	442423712	-8.720930233	-5.930232558	-9.534883721	-8.255813953	7.92	7.97	7.67	7.85	383374720	-7.906976744	-7.325581395	-10.81395349	-8.720930233
20250508	300884	14.44	7.2465136	-0.012987013	0.179051663	1	1	1.117834815	1	2	2	17.537	11.252	6.292	4.105	40	60	23.830531	0	56.10810811	50	98.80668258	100	33.2866	80	56.7212	0	75.7333	50	1	0	FALSE	15	16.66	14.13	14.44	1416615168	3.878116343	15.37396122	-2.146814404	0	13.94	14.3	13.04	13.19	838235520	-3.462603878	-0.969529086	-9.695290859	-8.656509695	13.15	13.52	12.81	13.33	627266048	-8.933518006	-6.371191136	-11.28808864	-7.686980609	13.2	13.49	12.93	13.42	548996096	-8.587257618	-6.578947368	-10.45706371	-7.063711911
20250508	301518	23.7	3.7940672	-0.00168492	0.086634741	1	1	0.710541833	1	2	7	1.239	1.766	1.504	1.105	25	0	9.1889537	0	18.26347305	0	55.70804741	100	24.7184	0	67.4406	100	72.4	50	-1.34	0	FALSE	24.96	24.96	22.97	23.7	588929536	5.316455696	5.316455696	-3.080168776	0	22.87	23.5	22.1	22.14	353479936	-3.502109705	-0.843881857	-6.751054852	-6.582278481	22.18	22.45	21.82	22.05	248297712	-6.41350211	-5.274261603	-7.932489451	-6.962025316	22.18	26.46	21.95	26.46	438233536	-6.41350211	11.64556962	-7.383966245	11.64556962
20250508	300398	20.41	19.54911659	-0.008260447	0.033049574	1	1	0.175773183	1	3	4	3.209	1.416	0.976	0.888	63	100	87.823326	100	14.27771557	0	48.35549335	50	31.8562	80	63.3398	50	88.6667	100	1	0	FALSE	20.51	20.63	19.97	20.41	1184664832	0.489955904	1.077902989	-2.155805977	0	20.74	20.98	19.69	19.74	1124140160	1.616854483	2.792748653	-3.527682509	-3.282704557	19.75	19.93	19.46	19.56	798170112	-3.233708966	-2.351788339	-4.654581088	-4.164625184	19.78	20.47	19.41	20.18	1691613312	-3.086722195	0.293973542	-4.89955904	-1.126898579
20250508	300867	17.85	5.235908267	-0.012174875	0.122807018	1	1	0.522535679	1	3	9	1.182	1.205	2.76	2.787	27	60	25.467338	0	27.59113653	0	63.96694215	100	29.0114	0	59.2878	0	76.6667	50	1	0	FALSE	17.95	19.84	17.67	17.85	680001408	0.56022409	11.14845938	-1.008403361	0	17.89	18.92	17.29	17.4	465310944	0.224089636	5.994397759	-3.137254902	-2.521008403	17.73	17.88	16.93	17.12	342165312	-0.672268908	0.168067227	-5.154061625	-4.089635854	17.25	17.26	16.64	16.8	256842352	-3.361344538	-3.305322129	-6.778711485	-5.882352941
20250508	301008	30.85	5.432218773	-0.000971503	0.11993007	1	1	2.547179846	1	4	4	3.453	5.003	5.403	4.656	53	60	22.266991	0	76.99368904	100	111.2460064	100	30.5998	80	62.922	50	80.4	80	1	0	FALSE	29.47	32.03	28.6	30.85	485631200	-4.473257699	3.824959481	-7.293354943	0	29.86	30.3	27.76	28.47	356699040	-3.209076175	-1.782820097	-10.01620746	-7.714748784	28.19	29.9	28.08	29.76	314001888	-8.622366288	-3.079416532	-8.978930308	-3.533225284	30.6	30.88	28.31	28.7	285474816	-0.810372771	0.097244733	-8.233387358	-6.969205835
20250508	688580	50.2	3.944842667	0.000997009	0.083401472	1	1	1.948018167	1	5	6	1.645	2.32	2.302	0.983	48	0	34.353161	100	36.11713666	0	75.44311956	100	36.1721	80	72.0231	100	74.4	50	1	0	FALSE	49	53	48.92	50.2	309670144	-2.390438247	5.577689243	-2.549800797	0	49.4	49.77	46.8	47.05	281461504	-1.593625498	-0.856573705	-6.772908367	-6.274900398	47.57	48.97	47.2	48.46	193810224	-5.239043825	-2.450199203	-5.976095618	-3.466135458	49.5	49.8	47.75	48.05	179778096	-1.394422311	-0.796812749	-4.880478088	-4.282868526
20250508	301000	55.26	12.74504747	0.031932773	0.106870229	1	1	1.957030872	1	9	9	0.83	1.237	2.672	2.236	77	80	80.518676	100	64.66030989	100	104.7189452	100	32.0187	80	74.1057	100	82.8	80	1	0	FALSE	53.37	58	52.4	55.26	1492990464	-3.42019544	4.958378574	-5.17553384	0	54.2	55.6	51.7	52.01	1023429184	-1.91820485	0.615273254	-6.442272892	-5.881288455	54	55.26	53.04	53.66	812635328	-2.280130293	0	-4.017372421	-2.895403547	54.3	55.35	53.19	53.47	713446208	-1.737242128	0.16286645	-3.745928339	-3.239232718
20250508	300255	26.63	21.362976	-0.057011331	0.14559387	1	1	1.529027636	1	3	3	8.48	4.452	2.536	2.035	68	100	186.84547	100	54.73561883	50	89.84126984	100	42.5271	100	56.707	0	85.0667	80	1	0	FALSE	28.2	29.9	26.1	26.63	2654341376	5.895606459	12.27938415	-1.990236575	0	26.34	27.78	25.9	25.99	1519100032	-1.088997371	4.318437852	-2.741269245	-2.403304544	26.35	26.85	25.85	25.91	1053418752	-1.051445738	0.826135937	-2.929027413	-2.703717612	25.92	26.32	25.19	25.26	1042643584	-2.666165978	-1.164100638	-5.407435223	-5.144573789
