date	code	close	amount	zhang	zhen	sma_up	sma_down	macd	is_up	consecutive_upper_days	upper_count_in_days	ma_amount_3_days_ratio	ma_amount_5_days_ratio	ma_amount_8_days_ratio	ma_amount_11_days_ratio	total_score	amount_score	free_amount	free_amount_score	increase	increase_score	amplitude	amplitude_score	jgcyd	jgcyd_score	lspf	lspf_score	focus	focus_score	last_desire_daily	desire_daily_score	high_rating	0_open	0_high	0_low	0_close	0_amount	0_day_open	0_day_max	0_day_min	0_day_close	1_open	1_high	1_low	1_close	1_amount	1_day_open	1_day_max	1_day_min	1_day_close	2_open	2_high	2_low	2_close	2_amount	2_day_open	2_day_max	2_day_min	2_day_close	3_open	3_high	3_low	3_close	3_amount	3_day_open	3_day_max	3_day_min	3_day_close
20250508	300255	26.63	21.362976	-0.057011331	0.14559387	1	1	1.529027636	1	3	3	8.48	4.452	2.536	2.035	68	100	186.84547	100	54.73561883	50	89.84126984	100	42.5271	100	56.707	0	85.0667	80	1	0	FALSE	28.2	29.9	26.1	26.63	2654341376	5.895606459	12.27938415	-1.990236575	0	26.34	27.78	25.9	25.99	1519100032	-1.088997371	4.318437852	-2.741269245	-2.403304544	26.35	26.85	25.85	25.91	1053418752	-1.051445738	0.826135937	-2.929027413	-2.703717612	25.92	26.32	25.19	25.26	1042643584	-2.666165978	-1.164100638	-5.407435223	-5.144573789
20250508	300398	20.41	19.54911659	-0.008260447	0.033049574	1	1	0.175773183	1	3	4	3.209	1.416	0.976	0.888	63	100	87.823326	100	14.27771557	0	48.35549335	50	31.8562	80	63.3398	50	88.6667	100	1	0	FALSE	20.51	20.63	19.97	20.41	1184664832	0.489955904	1.077902989	-2.155805977	0	20.74	20.98	19.69	19.74	1124140160	1.616854483	2.792748653	-3.527682509	-3.282704557	19.75	19.93	19.46	19.56	798170112	-3.233708966	-2.351788339	-4.654581088	-4.164625184	19.78	20.47	19.41	20.18	1691613312	-3.086722195	0.293973542	-4.89955904	-1.126898579
20250508	300879	39.12	16.8795008	-0.043520782	0.068669528	1	1	5.133843221	1	6	6	1.903	6.217	9.057	6.454	76	100	34.576893	100	164.1458474	100	214.1321045	100	36.9588	80	62.0231	50	86.2667	80	1	0	FALSE	38.99	39.84	37.28	39.12	1649931392	-0.332310838	1.840490798	-4.703476483	0	37.4	41.25	36.8	37.1	1566262912	-4.396728016	5.444785276	-5.930470348	-5.163599182	38.21	40.5	36.34	39.86	1526584704	-2.326175869	3.527607362	-7.106339468	1.891615542	40	40.6	37.02	38.6	1302598528	2.249488753	3.783231084	-5.36809816	-1.329243354
20250508	301000	55.26	12.74504747	0.031932773	0.106870229	1	1	1.957030872	1	9	9	0.83	1.237	2.672	2.236	77	80	80.518676	100	64.66030989	100	104.7189452	100	32.0187	80	74.1057	100	82.8	80	1	0	FALSE	53.37	58	52.4	55.26	1492990464	-3.42019544	4.958378574	-5.17553384	0	54.2	55.6	51.7	52.01	1023429184	-1.91820485	0.615273254	-6.442272892	-5.881288455	54	55.26	53.04	53.66	812635328	-2.280130293	0	-4.017372421	-2.895403547	54.3	55.35	53.19	53.47	713446208	-1.737242128	0.16286645	-3.745928339	-3.239232718
20250508	688280	8.9	7.815498027	-0.115308151	0.163722026	1	1	1.117180437	1	4	4	4.572	17.868	10.644	6.049	47	60	26.660283	0	107.4592075	100	159.2783505	100	42.8454	100	59.0336	0	77.2	50	-2.52	0	FALSE	9.66	9.88	8.49	8.9	958498944	8.539325843	11.01123596	-4.606741573	0	8.6	8.76	7.97	7.98	639716160	-3.370786517	-1.573033708	-10.4494382	-10.33707865	7.87	8.07	7.8	7.98	439426272	-11.57303371	-9.325842697	-12.35955056	-10.33707865	7.95	8.24	7.71	7.73	472040096	-10.6741573	-7.415730337	-13.37078652	-13.14606742
20250508	300972	150.03	7.559531947	-0.0651754	0.086802721	1	1	4.784446362	1	18	10	0.931	1.748	1.815	2.209	65	60	134.94886	100	49.13518887	50	81.27849041	100	33.8647	80	69.6948	100	79.4667	50	1	0	FALSE	159.27	159.76	147	150.03	799208448	6.158768246	6.485369593	-2.019596081	0	146.41	153.9	146	153.01	430932864	-2.412850763	2.579484103	-2.686129441	1.986269413	149.95	153.36	149.01	151.2	373403136	-0.053322669	2.219556089	-0.679864027	0.779844031	151.2	156.88	147.84	155.79	406053920	0.779844031	4.565753516	-1.459708058	3.839232154
20250508	300884	14.44	7.2465136	-0.012987013	0.179051663	1	1	1.117834815	1	2	2	17.537	11.252	6.292	4.105	40	60	23.830531	0	56.10810811	50	98.80668258	100	33.2866	80	56.7212	0	75.7333	50	1	0	FALSE	15	16.66	14.13	14.44	1416615168	3.878116343	15.37396122	-2.146814404	0	13.94	14.3	13.04	13.19	838235520	-3.462603878	-0.969529086	-9.695290859	-8.656509695	13.15	13.52	12.81	13.33	627266048	-8.933518006	-6.371191136	-11.28808864	-7.686980609	13.2	13.49	12.93	13.42	548996096	-8.587257618	-6.578947368	-10.45706371	-7.063711911
20250508	300281	8.6	6.302169067	-0.011494253	0.111633373	1	1	0.391145343	1	3	3	3.08	2.844	1.574	0.784	38	60	24.356078	0	28.74251497	0	74.53874539	100	33.3035	80	58.1026	0	81.8667	80	-1.12	0	FALSE	9	9.46	8.51	8.6	1071942528	4.651162791	10	-1.046511628	0	8.49	8.75	7.9	7.93	676949504	-1.279069767	1.744186047	-8.139534884	-7.790697674	7.85	8.09	7.78	7.89	442423712	-8.720930233	-5.930232558	-9.534883721	-8.255813953	7.92	7.97	7.67	7.85	383374720	-7.906976744	-7.325581395	-10.81395349	-8.720930233
20250508	300652	80.08	6.015066667	-0.019828641	0.057217165	1	1	6.661096079	1	7	7	0.936	1.902	2.268	2.006	67	60	45.584903	100	129.4555874	100	174.8285994	100	46.2108	100	65.2944	50	78	50	-2.22	0	FALSE	79.55	81.3	76.9	80.08	428289856	-0.661838162	1.523476523	-3.971028971	0	79.51	79.99	73.53	74.6	653478656	-0.711788212	-0.112387612	-8.179320679	-6.843156843	76.5	86.78	75.07	85.03	722921664	-4.470529471	8.366633367	-6.256243756	6.181318681	85.71	88	81.88	83.79	515863072	7.03046953	9.89010989	2.247752248	4.632867133
20250508	688722	22.86	5.9461504	-0.043514644	0.057017544	1	1	1.088315416	1	3	4	3.201	2.381	1.503	1.404	60	60	36.036116	100	57.22145805	50	81.17066291	100	37.6393	80	63.9978	50	72.8	50	-2.15	0	FALSE	23.76	24.1	22.8	22.86	506189792	3.937007874	5.42432196	-0.262467192	0	23.13	24.29	21.95	23.5	587556672	1.181102362	6.255468066	-3.980752406	2.799650044	24.22	26.6	24.22	24.99	706802880	5.949256343	16.36045494	5.949256343	9.317585302	25.3	25.67	23.88	24.4	421939904	10.67366579	12.29221347	4.461942257	6.736657918
